dates,results,locations,game_nums,opponent,date_diff,rest
2016-10-26,Loss,Home,1,CHO,5.0,4.0
2016-10-29,Win,Home,2,BRK,3.0,2.0
2016-10-30,Loss,Away,3,DET,1.0,0.0
2016-11-01,Win,Away,4,NOP,2.0,1.0
2016-11-03,Win,Home,5,IND,2.0,1.0
2016-11-05,Win,Home,6,SAC,2.0,1.0
2016-11-06,Loss,Away,7,DAL,1.0,0.0
2016-11-10,Loss,Home,8,NOP,4.0,3.0
2016-11-12,Win,Home,9,MEM,2.0,1.0
2016-11-16,Loss,Away,10,ATL,4.0,3.0
2016-11-17,Loss,Away,11,MIA,1.0,0.0
2016-11-19,Loss,Home,12,GSW,2.0,1.0
2016-11-21,Win,Home,13,ORL,2.0,1.0
2016-11-25,Loss,Home,14,TOR,4.0,3.0
2016-11-27,Win,Away,15,ORL,2.0,1.0
2016-11-29,Win,Home,16,CLE,2.0,1.0
2016-12-01,Win,Away,17,BRK,2.0,1.0
2016-12-03,Win,Home,18,BRK,2.0,1.0
2016-12-05,Loss,Home,19,SAS,2.0,1.0
2016-12-07,Win,Home,20,POR,2.0,1.0
2016-12-09,Loss,Home,21,ATL,2.0,1.0
2016-12-10,Loss,Away,22,WAS,1.0,0.0
2016-12-12,Loss,Away,23,TOR,2.0,1.0
2016-12-15,Win,Home,24,CHI,3.0,2.0
2016-12-16,Win,Away,25,CHI,1.0,0.0
2016-12-20,Loss,Home,26,CLE,4.0,3.0
2016-12-21,Loss,Away,27,CLE,1.0,0.0
2016-12-23,Win,Home,28,WAS,2.0,1.0
2016-12-26,Loss,Away,29,WAS,3.0,2.0
2016-12-28,Win,Away,30,DET,2.0,1.0
2016-12-30,Loss,Away,31,MIN,2.0,1.0
2016-12-31,Win,Away,32,CHI,1.0,0.0
2017-01-02,Win,Home,33,OKC,2.0,1.0
2017-01-04,Win,Away,34,NYK,2.0,1.0
2017-01-06,Loss,Home,35,NYK,2.0,1.0
2017-01-08,Loss,Home,36,WAS,2.0,1.0
2017-01-10,Win,Away,37,SAS,2.0,1.0
2017-01-13,Win,Home,38,MIA,3.0,2.0
2017-01-15,Loss,Away,39,ATL,2.0,1.0
2017-01-16,Loss,Home,40,PHI,1.0,0.0
2017-01-18,Loss,Away,41,HOU,2.0,1.0
2017-01-20,Loss,Away,42,ORL,2.0,1.0
2017-01-21,Loss,Away,43,MIA,1.0,0.0
2017-01-23,Win,Home,44,HOU,2.0,1.0
2017-01-25,Loss,Home,45,PHI,2.0,1.0
2017-01-27,Loss,Away,46,TOR,2.0,1.0
2017-01-28,Loss,Home,47,BOS,1.0,0.0
2017-02-01,Loss,Away,48,UTA,4.0,3.0
2017-02-03,Loss,Away,49,DEN,2.0,1.0
2017-02-04,Win,Away,50,PHO,1.0,0.0
2017-02-08,Loss,Home,51,MIA,4.0,3.0
2017-02-10,Loss,Home,52,LAL,2.0,1.0
2017-02-11,Win,Away,53,IND,1.0,0.0
2017-02-13,Win,Home,54,DET,2.0,1.0
2017-02-15,Win,Away,55,BRK,2.0,1.0
2017-02-24,Loss,Home,56,UTA,9.0,8.0
2017-02-26,Win,Home,57,PHO,2.0,1.0
2017-02-27,Loss,Away,58,CLE,1.0,0.0
2017-03-01,Loss,Home,59,DEN,2.0,1.0
2017-03-03,Win,Home,60,LAC,2.0,1.0
2017-03-04,Win,Home,61,TOR,1.0,0.0
2017-03-06,Win,Away,62,PHI,2.0,1.0
2017-03-08,Win,Home,63,NYK,2.0,1.0
2017-03-10,Win,Home,64,IND,2.0,1.0
2017-03-11,Win,Home,65,MIN,1.0,0.0
2017-03-13,Loss,Away,66,MEM,2.0,1.0
2017-03-15,Win,Away,67,LAC,2.0,1.0
2017-03-17,Win,Away,68,LAL,2.0,1.0
2017-03-18,Loss,Away,69,GSW,1.0,0.0
2017-03-21,Win,Away,70,POR,3.0,2.0
2017-03-22,Win,Away,71,SAC,1.0,0.0
2017-03-24,Win,Home,72,ATL,2.0,1.0
2017-03-26,Loss,Home,73,CHI,2.0,1.0
2017-03-28,Win,Away,74,CHO,2.0,1.0
2017-03-29,Win,Away,75,BOS,1.0,0.0
2017-03-31,Win,Home,76,DET,2.0,1.0
2017-04-02,Loss,Home,77,DAL,2.0,1.0
2017-04-04,Loss,Away,78,OKC,2.0,1.0
2017-04-06,Loss,Away,79,IND,2.0,1.0
2017-04-08,Win,Away,80,PHI,2.0,1.0
2017-04-10,Win,Home,81,CHO,2.0,1.0
2017-04-12,Loss,Away,82,BOS,2.0,1.0
2017-10-18,Win,Away,1,BOS,5.0,4.0
2017-10-20,Loss,Home,2,CLE,2.0,1.0
2017-10-21,Win,Home,3,POR,1.0,0.0
2017-10-23,Win,Home,4,CHO,2.0,1.0
2017-10-26,Loss,Home,5,BOS,3.0,2.0
2017-10-29,Win,Away,6,ATL,3.0,2.0
2017-10-31,Loss,Home,7,OKC,2.0,1.0
2017-11-01,Loss,Away,8,CHO,1.0,0.0
2017-11-03,Loss,Away,9,DET,2.0,1.0
2017-11-07,Loss,Away,10,CLE,4.0,3.0
2017-11-10,Win,Away,11,SAS,3.0,2.0
2017-11-11,Win,Home,12,LAL,1.0,0.0
2017-11-13,Win,Home,13,MEM,2.0,1.0
2017-11-15,Win,Home,14,DET,2.0,1.0
2017-11-18,Loss,Away,15,DAL,3.0,2.0
2017-11-20,Loss,Home,16,WAS,2.0,1.0
2017-11-22,Win,Away,17,PHO,2.0,1.0
2017-11-25,Loss,Away,18,UTA,3.0,2.0
2017-11-28,Win,Away,19,SAC,3.0,2.0
2017-11-30,Win,Away,20,POR,2.0,1.0
2017-12-02,Win,Home,21,SAC,2.0,1.0
2017-12-04,Loss,Away,22,BOS,2.0,1.0
2017-12-06,Win,Home,23,DET,2.0,1.0
2017-12-08,Win,Home,24,DAL,2.0,1.0
2017-12-09,Win,Home,25,UTA,1.0,0.0
2017-12-13,Loss,Away,26,NOP,4.0,3.0
2017-12-15,Loss,Home,27,CHI,2.0,1.0
2017-12-16,Loss,Away,28,HOU,1.0,0.0
2017-12-19,Win,Home,29,CLE,3.0,2.0
2017-12-22,Win,Home,30,CHO,3.0,2.0
2017-12-23,Loss,Away,31,CHO,1.0,0.0
2017-12-26,Loss,Home,32,CHI,3.0,2.0
2017-12-28,Win,Home,33,MIN,2.0,1.0
2017-12-29,Win,Away,34,OKC,1.0,0.0
2018-01-01,Loss,Away,35,TOR,3.0,2.0
2018-01-03,Win,Home,36,IND,2.0,1.0
2018-01-05,Loss,Home,37,TOR,2.0,1.0
2018-01-06,Win,Away,38,WAS,1.0,0.0
2018-01-08,Loss,Away,39,IND,2.0,1.0
2018-01-10,Win,Home,40,ORL,2.0,1.0
2018-01-12,Loss,Home,41,GSW,2.0,1.0
2018-01-14,Loss,Away,42,MIA,2.0,1.0
2018-01-15,Win,Away,43,WAS,1.0,0.0
2018-01-17,Loss,Home,44,MIA,2.0,1.0
2018-01-20,Loss,Away,45,PHI,3.0,2.0
2018-01-22,Win,Home,46,PHO,2.0,1.0
2018-01-26,Win,Home,47,BRK,4.0,3.0
2018-01-28,Win,Away,48,CHI,2.0,1.0
2018-01-29,Win,Home,49,PHI,1.0,0.0
2018-02-01,Loss,Away,50,MIN,3.0,2.0
2018-02-02,Win,Home,51,NYK,1.0,0.0
2018-02-04,Win,Away,52,BRK,2.0,1.0
2018-02-06,Win,Away,53,NYK,2.0,1.0
2018-02-09,Loss,Away,54,MIA,3.0,2.0
2018-02-10,Win,Away,55,ORL,1.0,0.0
2018-02-13,Win,Home,56,ATL,3.0,2.0
2018-02-15,Loss,Home,57,DEN,2.0,1.0
2018-02-23,Win,Away,58,TOR,8.0,7.0
2018-02-25,Loss,Home,59,NOP,2.0,1.0
2018-02-27,Loss,Home,60,WAS,2.0,1.0
2018-02-28,Loss,Away,61,DET,1.0,0.0
2018-03-02,Loss,Home,62,IND,2.0,1.0
2018-03-04,Win,Home,63,PHI,2.0,1.0
2018-03-05,Loss,Away,64,IND,1.0,0.0
2018-03-07,Loss,Home,65,HOU,2.0,1.0
2018-03-09,Win,Home,66,NYK,2.0,1.0
2018-03-12,Win,Away,67,MEM,3.0,2.0
2018-03-14,Loss,Away,68,ORL,2.0,1.0
2018-03-17,Win,Home,69,ATL,3.0,2.0
2018-03-19,Loss,Away,70,CLE,2.0,1.0
2018-03-21,Loss,Home,71,LAC,2.0,1.0
2018-03-23,Win,Away,72,CHI,2.0,1.0
2018-03-25,Win,Home,73,SAS,2.0,1.0
2018-03-27,Loss,Away,74,LAC,2.0,1.0
2018-03-29,Win,Away,75,GSW,2.0,1.0
2018-03-30,Win,Away,76,LAL,1.0,0.0
2018-04-01,Loss,Away,77,DEN,2.0,1.0
2018-04-03,Win,Home,78,BOS,2.0,1.0
2018-04-05,Loss,Home,79,BRK,2.0,1.0
2018-04-07,Win,Away,80,NYK,2.0,1.0
2018-04-09,Win,Home,81,ORL,2.0,1.0
2018-04-11,Loss,Away,82,PHI,2.0,1.0
2018-10-17,Win,Away,1,CHO,5.0,4.0
2018-10-19,Win,Home,2,IND,2.0,1.0
2018-10-22,Win,Home,3,NYK,3.0,2.0
2018-10-24,Win,Home,4,PHI,2.0,1.0
2018-10-26,Win,Away,5,MIN,2.0,1.0
2018-10-27,Win,Home,6,ORL,1.0,0.0
2018-10-29,Win,Home,7,TOR,2.0,1.0
2018-11-01,Loss,Away,8,BOS,3.0,2.0
2018-11-04,Win,Home,9,SAC,3.0,2.0
2018-11-06,Loss,Away,10,POR,2.0,1.0
2018-11-08,Win,Away,11,GSW,2.0,1.0
2018-11-10,Loss,Away,12,LAC,2.0,1.0
2018-11-11,Win,Away,13,DEN,1.0,0.0
2018-11-14,Loss,Home,14,MEM,3.0,2.0
2018-11-16,Win,Home,15,CHI,2.0,1.0
2018-11-19,Win,Home,16,DEN,3.0,2.0
2018-11-21,Win,Home,17,POR,2.0,1.0
2018-11-23,Loss,Home,18,PHO,2.0,1.0
2018-11-24,Win,Home,19,SAS,1.0,0.0
2018-11-26,Loss,Away,20,CHO,2.0,1.0
2018-11-28,Win,Home,21,CHI,2.0,1.0
2018-12-01,Loss,Away,22,NYK,3.0,2.0
2018-12-05,Win,Home,23,DET,4.0,3.0
2018-12-07,Loss,Home,24,GSW,2.0,1.0
2018-12-09,Win,Away,25,TOR,2.0,1.0
2018-12-10,Win,Home,26,CLE,1.0,0.0
2018-12-12,Loss,Away,27,IND,2.0,1.0
2018-12-14,Win,Away,28,CLE,2.0,1.0
2018-12-17,Win,Away,29,DET,3.0,2.0
2018-12-19,Win,Home,30,NOP,2.0,1.0
2018-12-21,Win,Away,31,BOS,2.0,1.0
2018-12-22,Loss,Away,32,MIA,1.0,0.0
2018-12-25,Win,Away,33,NYK,3.0,2.0
2018-12-27,Win,Home,34,NYK,2.0,1.0
2018-12-29,Win,Home,35,BRK,2.0,1.0
2019-01-01,Win,Home,36,DET,3.0,2.0
2019-01-04,Win,Home,37,ATL,3.0,2.0
2019-01-05,Loss,Home,38,TOR,1.0,0.0
2019-01-07,Win,Home,39,UTA,2.0,1.0
2019-01-09,Win,Away,40,HOU,2.0,1.0
2019-01-11,Loss,Away,41,WAS,2.0,1.0
2019-01-13,Win,Away,42,ATL,2.0,1.0
2019-01-15,Win,Home,43,MIA,2.0,1.0
2019-01-16,Win,Away,44,MEM,1.0,0.0
2019-01-19,Win,Away,45,ORL,3.0,2.0
2019-01-21,Win,Home,46,DAL,2.0,1.0
2019-01-25,Win,Home,47,CHO,4.0,3.0
2019-01-27,Loss,Away,48,OKC,2.0,1.0
2019-01-29,Win,Away,49,DET,2.0,1.0
2019-01-31,Win,Away,50,TOR,2.0,1.0
2019-02-02,Win,Away,51,WAS,2.0,1.0
2019-02-04,Win,Away,52,BRK,2.0,1.0
2019-02-06,Win,Home,53,WAS,2.0,1.0
2019-02-08,Win,Away,54,DAL,2.0,1.0
2019-02-09,Loss,Home,55,ORL,1.0,0.0
2019-02-11,Win,Away,56,CHI,2.0,1.0
2019-02-13,Win,Away,57,IND,2.0,1.0
2019-02-21,Win,Home,58,BOS,8.0,7.0
2019-02-23,Win,Home,59,MIN,2.0,1.0
2019-02-25,Win,Away,60,CHI,2.0,1.0
2019-02-27,Win,Away,61,SAC,2.0,1.0
2019-03-01,Win,Away,62,LAL,2.0,1.0
2019-03-02,Loss,Away,63,UTA,1.0,0.0
2019-03-04,Loss,Away,64,PHO,2.0,1.0
2019-03-07,Win,Home,65,IND,3.0,2.0
2019-03-09,Win,Home,66,CHO,2.0,1.0
2019-03-10,Loss,Away,67,SAS,1.0,0.0
2019-03-12,Win,Away,68,NOP,2.0,1.0
2019-03-15,Win,Away,69,MIA,3.0,2.0
2019-03-17,Loss,Home,70,PHI,2.0,1.0
2019-03-19,Win,Home,71,LAL,2.0,1.0
2019-03-20,Loss,Away,72,CLE,1.0,0.0
2019-03-22,Win,Home,73,MIA,2.0,1.0
2019-03-24,Win,Home,74,CLE,2.0,1.0
2019-03-26,Win,Home,75,HOU,2.0,1.0
2019-03-28,Win,Home,76,LAC,2.0,1.0
2019-03-31,Loss,Away,77,ATL,3.0,2.0
2019-04-01,Win,Away,78,BRK,1.0,0.0
2019-04-04,Win,Away,79,PHI,3.0,2.0
2019-04-06,Loss,Home,80,BRK,2.0,1.0
2019-04-07,Win,Home,81,ATL,1.0,0.0
2019-04-10,Loss,Home,82,OKC,3.0,2.0
2019-10-24,Win,Away,1,HOU,5.0,4.0
2019-10-26,Loss,Home,2,MIA,2.0,1.0
2019-10-28,Win,Home,3,CLE,2.0,1.0
2019-10-30,Loss,Away,4,BOS,2.0,1.0
2019-11-01,Win,Away,5,ORL,2.0,1.0
2019-11-02,Win,Home,6,TOR,1.0,0.0
2019-11-04,Win,Away,7,MIN,2.0,1.0
2019-11-06,Win,Away,8,LAC,2.0,1.0
2019-11-08,Loss,Away,9,UTA,2.0,1.0
2019-11-10,Win,Away,10,OKC,2.0,1.0
2019-11-14,Win,Home,11,CHI,4.0,3.0
2019-11-16,Win,Away,12,IND,2.0,1.0
2019-11-18,Win,Away,13,CHI,2.0,1.0
2019-11-20,Win,Away,14,ATL,2.0,1.0
2019-11-21,Win,Home,15,POR,1.0,0.0
2019-11-23,Win,Home,16,DET,2.0,1.0
2019-11-25,Win,Home,17,UTA,2.0,1.0
2019-11-27,Win,Home,18,ATL,2.0,1.0
2019-11-29,Win,Away,19,CLE,2.0,1.0
2019-11-30,Win,Home,20,CHO,1.0,0.0
2019-12-02,Win,Home,21,NYK,2.0,1.0
2019-12-04,Win,Away,22,DET,2.0,1.0
2019-12-06,Win,Home,23,LAC,2.0,1.0
2019-12-09,Win,Home,24,ORL,3.0,2.0
2019-12-11,Win,Home,25,NOP,2.0,1.0
2019-12-13,Win,Away,26,MEM,2.0,1.0
2019-12-14,Win,Home,27,CLE,1.0,0.0
2019-12-16,Loss,Home,28,DAL,2.0,1.0
2019-12-19,Win,Home,29,LAL,3.0,2.0
2019-12-21,Win,Away,30,NYK,2.0,1.0
2019-12-22,Win,Home,31,IND,1.0,0.0
2019-12-25,Loss,Away,32,PHI,3.0,2.0
2019-12-27,Win,Away,33,ATL,2.0,1.0
2019-12-28,Win,Home,34,ORL,1.0,0.0
2019-12-30,Win,Away,35,CHI,2.0,1.0
2020-01-01,Win,Home,36,MIN,2.0,1.0
2020-01-04,Win,Home,37,SAS,3.0,2.0
2020-01-06,Loss,Away,38,SAS,2.0,1.0
2020-01-08,Win,Away,39,GSW,2.0,1.0
2020-01-10,Win,Away,40,SAC,2.0,1.0
2020-01-11,Win,Away,41,POR,1.0,0.0
2020-01-14,Win,Home,42,NYK,3.0,2.0
2020-01-16,Win,Home,43,BOS,2.0,1.0
2020-01-18,Win,Away,44,BRK,2.0,1.0
2020-01-20,Win,Home,45,CHI,2.0,1.0
2020-01-24,Win,Away,46,CHO,4.0,3.0
2020-01-28,Win,Home,47,WAS,4.0,3.0
2020-01-31,Loss,Home,48,DEN,3.0,2.0
2020-02-02,Win,Home,49,PHO,2.0,1.0
2020-02-04,Win,Away,50,NOP,2.0,1.0
2020-02-06,Win,Home,51,PHI,2.0,1.0
2020-02-08,Win,Away,52,ORL,2.0,1.0
2020-02-10,Win,Home,53,SAC,2.0,1.0
2020-02-12,Loss,Away,54,IND,2.0,1.0
2020-02-20,Win,Away,55,DET,8.0,7.0
2020-02-22,Win,Home,56,PHI,2.0,1.0
2020-02-24,Win,Away,57,WAS,2.0,1.0
2020-02-25,Win,Away,58,TOR,1.0,0.0
2020-02-28,Win,Home,59,OKC,3.0,2.0
2020-03-01,Win,Away,60,CHO,2.0,1.0
2020-03-02,Loss,Away,61,MIA,1.0,0.0
2020-03-04,Win,Home,62,IND,2.0,1.0
2020-03-06,Loss,Away,63,LAL,2.0,1.0
2020-03-08,Loss,Away,64,PHO,2.0,1.0
2020-03-09,Loss,Away,65,DEN,1.0,0.0
